DATE,TEAM,OPPONENT,NAME,POSITION,MINUTES,POINTS,REBOUNDS,ASSISTS,PTS+REB+AST,STEALS,BLOCKS,TURNOVERS,FOULS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,FANTASY,STARTER?,HOME?,WIN?,game_id
04/10/22,BRK,IND,Kevin Durant,PF,40,20,10,16,46,1,0,6,0,5,17,0,6,10,10,0,10,53.0,False,True,True,brk20220410
04/10/22,BRK,IND,Kyrie Irving,PG,39,35,7,5,47,1,0,3,2,15,20,4,6,1,2,1,6,50.9,False,True,True,brk20220410
04/10/22,BRK,IND,Kessler Edwards,SF,39,10,5,0,15,0,2,2,3,4,7,0,1,2,2,1,4,20.0,False,True,True,brk20220410
04/10/22,BRK,IND,Bruce Brown,SF,37,21,7,3,31,3,2,3,3,8,13,1,2,4,5,0,7,45.9,False,True,True,brk20220410
04/10/22,BRK,IND,Patty Mills,SG,30,8,2,2,12,0,0,3,1,3,6,2,5,0,0,0,2,10.4,False,True,True,brk20220410
04/10/22,BRK,IND,Nic Claxton,C,23,14,6,4,24,0,0,1,4,6,6,0,0,2,2,2,4,26.2,False,True,True,brk20220410
04/10/22,BRK,IND,Andre Drummond,C,19,20,13,0,33,0,2,1,3,9,9,0,0,2,2,4,9,40.6,False,True,True,brk20220410
04/10/22,BRK,IND,Cam Thomas,SG,8,6,0,0,6,0,0,1,0,2,3,1,2,1,2,0,0,5.0,False,True,True,brk20220410
04/10/22,IND,BRK,Tyrese Haliburton,SG,39,17,4,10,31,2,0,1,0,7,14,2,5,1,1,2,2,41.8,False,False,False,brk20220410
04/10/22,IND,BRK,Buddy Hield,SG,35,21,3,6,30,3,0,2,3,8,23,5,14,0,0,0,3,40.6,False,False,False,brk20220410
04/10/22,IND,BRK,Oshae Brissett,SF,35,28,8,3,39,1,0,0,5,10,20,5,10,3,4,3,5,45.1,False,False,False,brk20220410
04/10/22,IND,BRK,Isaiah Jackson,C,32,7,3,0,10,2,1,2,5,3,4,0,0,1,2,0,3,17.6,False,False,False,brk20220410
04/10/22,IND,BRK,T.J. McConnell,PG,30,14,3,5,22,3,0,0,3,5,15,3,7,1,2,0,3,34.1,False,False,False,brk20220410
