DATE,TEAM,OPPONENT,NAME,POSITION,MINUTES,POINTS,REBOUNDS,ASSISTS,PTS+REB+AST,STEALS,BLOCKS,TURNOVERS,FOULS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,FANTASY,STARTER?,HOME?,WIN?,game_id
04/14/24,BOS,WAS,Payton Pritchard,PG,43,38,9,12,59,0,0,2,3,15,21,4,6,4,4,1,8,64.8,False,True,True,bos20240414
04/14/24,BOS,WAS,Svi Mykhailiuk,SG,37,26,5,5,36,0,1,1,2,10,13,6,8,0,0,1,4,41.5,False,True,True,bos20240414
04/14/24,BOS,WAS,Sam Hauser,PF,35,16,5,2,23,2,1,0,1,6,20,4,11,0,0,1,4,34.0,False,True,True,bos20240414
04/14/24,BOS,WAS,Luke Kornet,C,27,11,8,5,24,0,3,0,0,4,5,0,0,3,3,3,5,37.1,False,True,True,bos20240414
04/14/24,BOS,WAS,Jaden Springer,SG,20,7,2,0,9,3,1,1,2,2,4,1,2,2,2,0,2,20.4,False,True,True,bos20240414
04/14/24,BOS,WAS,Neemias Queta,C,19,19,9,1,29,0,6,3,2,8,11,0,0,3,4,3,6,46.3,False,True,True,bos20240414
04/14/24,BOS,WAS,Jordan Walsh,SF,17,1,3,1,5,2,0,1,1,0,2,0,1,1,2,0,3,11.1,False,True,True,bos20240414
04/14/24,BOS,WAS,Oshae Brissett,SF,15,4,2,1,7,1,3,3,0,2,6,0,1,0,3,0,2,16.9,False,True,True,bos20240414
04/14/24,BOS,WAS,JD Davison,SG,10,1,3,2,6,1,0,1,2,0,2,0,1,1,2,0,3,9.6,False,True,True,bos20240414
04/14/24,BOS,WAS,Drew Peterson,PF,8,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,3.2,False,True,True,bos20240414
04/14/24,BOS,WAS,Xavier Tillman,C,5,9,1,0,10,0,0,1,0,4,4,1,1,0,1,1,0,9.2,False,True,True,bos20240414
04/14/24,WAS,BOS,Patrick Baldwin,PF,33,17,7,0,24,2,1,1,3,6,11,4,7,1,1,0,7,33.4,False,False,False,bos20240414
04/14/24,WAS,BOS,Corey Kispert,PG,32,8,3,8,19,1,0,0,0,3,9,0,5,2,2,0,3,26.6,False,False,False,bos20240414
04/14/24,WAS,BOS,Deni Avdija,SG,30,9,3,2,14,0,1,1,1,3,11,1,5,2,2,0,3,17.6,False,False,False,bos20240414
04/14/24,WAS,BOS,Jared Butler,SG,30,22,2,7,31,1,1,4,4,9,19,2,4,2,2,1,1,36.9,False,False,False,bos20240414
04/14/24,WAS,BOS,Johnny Davis,SF,26,6,1,2,9,2,0,3,4,3,5,0,0,0,0,0,1,13.2,False,False,False,bos20240414
04/14/24,WAS,BOS,Jules Bernard,SG,24,13,6,3,22,1,0,2,0,5,10,2,4,1,1,2,4,25.7,False,False,False,bos20240414
04/14/24,WAS,BOS,Eugene Omoruyi,SF,23,26,2,5,33,0,0,0,1,11,17,4,6,0,0,1,1,35.9,False,False,False,bos20240414
04/14/24,WAS,BOS,Justin Champagnie,SF,20,9,7,3,19,2,1,0,1,4,9,0,2,1,1,1,6,30.9,False,False,False,bos20240414
04/14/24,WAS,BOS,Anthony Gill,C,17,12,5,3,20,0,0,0,2,5,12,1,5,1,1,3,2,22.5,False,False,False,bos20240414
04/14/24,CLE,CHO,Max Strus,SG,30,14,10,11,35,0,0,3,0,5,12,4,6,0,0,3,7,39.5,False,True,False,cle20240414
04/14/24,CLE,CHO,Emoni Bates,SF,29,7,3,3,13,0,0,6,0,3,12,1,5,0,0,0,3,9.1,False,True,False,cle20240414
04/14/24,CLE,CHO,Isaac Okoro,SF,29,11,3,6,20,0,0,0,0,3,6,3,4,2,2,0,3,23.6,False,True,False,cle20240414
