TEAM,POSITION,POINTS,POINTS RANK,REBOUNDS,REBOUNDS RANK,ASSISTS,ASSISTS RANK
BOS,SF,10.27,1,4.16,13,2.08,15
DEN,SF,10.27,2,3.71,2,1.92,6
LAC,SF,10.47,3,3.58,1,1.95,8
BRK,C,10.65,1,7.47,6,2.24,10
SAS,SF,10.87,4,4.02,10,2.13,18
ORL,SF,10.91,5,3.83,5,1.84,3
MIA,C,10.93,2,7.97,14,2.07,3
PHO,SF,10.95,6,3.73,4,1.7,1
MIN,SF,11.07,7,4.09,11,1.94,7
NYK,C,11.09,3,7.55,8,1.8,1
MEM,SF,11.09,8,4.22,17,1.82,2
MIL,SF,11.1,9,4.39,23,2.25,21
NOP,SF,11.13,10,3.88,7,1.98,9
HOU,SF,11.17,11,4.48,24,1.92,5
BRK,SF,11.21,12,4.2,16,2.06,13
GSW,SF,11.46,13,4.52,26,2.07,14
CHO,SF,11.52,14,4.33,20,2.42,26
DAL,SF,11.53,15,4.11,12,2.55,27
CLE,C,11.66,4,8.08,17,2.15,6
NYK,SG,11.72,1,2.99,3,2.63,5
MIA,SF,11.75,16,4.27,18,2.36,23
IND,SF,11.76,17,4.49,25,2.12,17
NOP,PF,11.82,1,5.05,4,2.31,4
CHO,SG,11.84,2,3.32,8,3.05,14
PHI,SF,11.85,18,4.85,30,2.06,12
OKC,SF,11.87,19,4.35,21,2.05,11
UTA,SF,11.9,20,3.72,3,2.23,20
POR,SF,11.96,21,3.85,6,1.91,4
NYK,SF,11.98,22,3.89,8,2.18,19
CLE,SG,11.99,3,3.47,13,2.35,2
POR,SG,12.07,4,3.53,18,2.84,8
SAC,C,12.18,5,7.74,11,2.62,24
CHI,SF,12.23,23,4.39,22,2.69,30
BOS,SG,12.27,5,3.6,21,2.33,1
DET,SF,12.28,24,3.94,9,2.11,16
IND,C,12.31,6,7.35,4,2.54,17
BOS,PF,12.35,2,5.18,10,2.34,5
CLE,SF,12.45,25,4.79,29,2.4,25
MIN,SG,12.49,6,3.37,9,2.77,7
MEM,C,12.5,7,8.57,27,2.19,7
ORL,C,12.5,8,7.7,10,2.47,14
