TEAM,POSITION,POINTS,POINTS RANK,REBOUNDS,REBOUNDS RANK,ASSISTS,ASSISTS RANK
BOS,SF,10.56,1,4.55,26,2.2,16
NOP,SF,10.63,2,4.0,6,1.99,7
MIN,SF,10.64,3,4.04,7,1.98,6
DEN,SF,10.65,4,3.95,4,1.94,4
MIL,SF,10.77,5,4.27,18,2.22,18
MIA,C,10.86,1,7.94,14,2.0,2
SAS,SF,10.86,6,4.15,12,2.1,10
LAC,SF,10.9,7,3.89,2,2.14,14
MEM,SF,11.01,8,4.22,16,1.99,8
GSW,SF,11.05,9,4.44,23,2.24,19
BRK,C,11.06,2,7.57,5,2.19,4
HOU,SF,11.07,10,4.37,20,1.95,5
BRK,SF,11.33,11,4.31,19,2.12,13
PHO,SF,11.37,12,3.87,1,1.85,1
CLE,C,11.41,3,8.04,15,2.2,5
SAC,C,11.42,4,7.59,6,2.54,20
PHI,SF,11.46,13,4.83,30,2.16,15
ORL,C,11.54,5,7.26,1,2.39,14
NYK,SG,11.57,1,2.98,3,2.72,4
DAL,SF,11.7,14,4.08,10,2.39,25
NYK,C,11.82,6,7.76,10,1.99,1
CHO,SF,11.83,15,4.41,21,2.41,26
OKC,SF,11.86,16,4.52,25,2.1,9
IND,SF,11.88,17,4.26,17,2.11,11
DAL,C,11.89,7,7.65,7,2.33,9
MIA,SF,11.95,18,4.43,22,2.27,22
BOS,SG,11.99,2,3.47,16,2.35,1
ORL,SF,12.0,19,4.06,8,1.94,3
CHO,SG,12.0,3,3.41,12,3.27,19
CLE,SG,12.04,4,3.48,18,2.56,2
NYK,SF,12.13,20,3.92,3,2.22,17
POR,SF,12.16,21,4.07,9,1.93,2
TOR,SG,12.2,5,3.1,4,2.88,8
UTA,SF,12.24,22,3.95,5,2.26,21
CHI,SF,12.36,23,4.49,24,2.6,29
LAC,C,12.4,8,8.18,22,2.72,28
POR,SG,12.41,6,3.38,9,3.04,14
CLE,SF,12.41,24,4.64,28,2.3,23
WAS,SF,12.42,25,4.63,27,2.25,20
BOS,C,12.42,9,7.4,2,2.31,8
ATL,C,12.48,10,8.48,28,2.35,11
MIN,SG,12.53,7,3.41,11,2.82,5
LAC,SG,12.53,8,3.46,15,2.83,6
NOP,PF,12.63,1,5.17,8,2.47,6
BOS,PF,12.65,2,5.17,9,2.24,2
ORL,SG,12.65,9,3.17,5,2.85,7
ORL,PF,12.68,3,4.82,2,2.3,4
CHI,C,12.72,11,8.15,21,2.5,19
NOP,C,12.76,12,8.05,16,2.7,27
SAC,SF,12.76,26,4.21,15,2.12,12
IND,C,12.78,13,7.92,13,2.38,13
SAS,SG,12.78,10,3.28,6,3.28,20
MEM,C,12.79,14,8.48,27,2.2,6
MEM,SG,12.85,11,3.4,10,3.19,16
LAL,SF,12.85,27,4.17,13,2.62,30
LAL,C,12.86,15,8.31,23,2.69,26
DEN,SG,12.88,12,3.36,8,3.36,27
HOU,C,12.89,16,8.08,17,2.34,10
PHO,C,12.9,17,7.42,3,2.64,24
ATL,SF,12.91,28,4.17,14,2.58,28
DET,SF,12.94,29,4.13,11,2.35,24
PHO,SG,12.97,13,3.6,23,3.22,18
PHI,C,13.01,18,7.88,12,2.38,12
MIL,C,13.02,19,7.71,8,2.66,25
OKC,C,13.06,20,8.59,29,2.89,30
UTA,C,13.16,21,7.43,4,2.42,15
CHI,SG,13.2,14,3.47,17,3.37,29
NOP,SG,13.21,15,2.94,1,3.13,15
TOR,C,13.27,22,8.46,26,2.58,22
DEN,PF,13.29,4,5.14,7,2.79,19
POR,C,13.32,23,8.32,24,2.59,23
MIN,PF,13.38,5,4.96,4,2.17,1
CHO,C,13.43,24,8.33,25,2.08,3
MIL,PF,13.43,6,5.27,11,2.25,3
HOU,PF,13.45,7,5.44,16,2.68,13
OKC,PF,13.47,8,5.7,23,2.72,15
OKC,SG,13.51,16,3.5,19,3.34,25
HOU,SG,13.52,17,3.78,26,2.69,3
DET,C,13.55,25,8.1,19,2.57,21
BRK,SG,13.57,18,3.64,25,3.22,17
OKC,PG,13.64,1,3.57,15,5.03,7
PHI,SG,13.64,19,3.56,21,3.0,12
NYK,PG,13.66,2,3.19,4,5.08,11
DEN,C,13.66,26,7.76,9,2.47,17
DEN,PG,13.66,3,3.29,6,4.89,3
SAS,PF,13.66,9,5.64,19,2.73,16
MIA,PF,13.67,10,5.75,26,2.8,21
MIA,SG,13.7,20,3.55,20,3.29,21
TOR,SF,13.7,30,4.71,29,2.51,27
GSW,C,13.72,27,8.1,18,2.85,29
LAL,SG,13.8,21,3.59,22,3.31,23
SAC,SG,13.82,22,2.98,2,2.9,9
POR,PF,13.83,11,5.24,10,2.84,22
GSW,SG,13.83,23,3.44,13,2.93,10
MIN,C,13.95,28,7.83,11,2.49,18
MIN,PG,13.95,4,3.36,9,5.45,19
ATL,SG,13.99,24,3.44,14,3.31,22
NYK,PF,14.09,12,4.93,3,2.89,25
DET,SG,14.1,25,3.31,7,3.0,13
LAC,PF,14.11,13,5.09,5,2.7,14
MEM,PF,14.12,14,5.52,18,2.52,8
NOP,PG,14.14,5,2.89,1,5.05,9
BRK,PF,14.2,15,5.67,20,2.47,7
DAL,SG,14.25,26,4.14,30,3.36,26
SAC,PF,14.27,16,5.28,12,2.66,12
PHI,PG,14.3,6,3.45,11,5.63,24
WAS,SG,14.3,27,4.0,28,3.32,24
CHO,PG,14.42,7,3.88,29,5.49,20
CLE,PF,14.44,17,5.31,13,2.59,10
PHI,PF,14.45,18,5.72,24,2.53,9
UTA,PG,14.45,8,3.61,17,6.22,30
CHI,PG,14.47,9,3.31,8,5.78,26
MEM,PG,14.49,10,3.87,27,5.51,21
MIA,PG,14.5,11,3.57,14,5.44,18
LAL,PF,14.51,19,5.68,21,2.92,26
PHO,PF,14.61,20,5.34,14,2.36,5
DET,PF,14.62,21,5.09,6,2.78,18
SAS,C,14.65,29,8.13,20,2.28,7
WAS,PG,14.7,12,3.84,26,5.83,27
WAS,C,14.71,30,9.36,30,2.43,16
UTA,SG,14.73,28,3.85,27,3.36,28
WAS,PF,14.76,22,5.43,15,3.09,27
TOR,PF,14.77,23,5.45,17,2.85,23
TOR,PG,14.81,13,3.62,18,5.96,29
CHO,PF,14.84,24,5.73,25,3.31,30
DAL,PF,14.85,25,5.9,28,2.74,17
DAL,PG,14.85,14,3.53,12,5.29,15
MIL,SG,14.87,29,4.08,29,3.41,30
GSW,PF,14.93,26,5.92,30,2.87,24
POR,PG,14.99,15,3.31,7,5.22,12
CHI,PF,15.03,27,5.91,29,2.79,20
CLE,PG,15.04,16,3.14,2,5.07,10
BOS,PG,15.41,17,3.82,25,5.27,13
LAC,PG,15.57,18,3.16,3,5.04,8
IND,SG,15.58,30,3.64,24,2.99,11
HOU,PG,15.59,19,3.75,22,4.77,2
ATL,PG,15.63,20,3.59,16,5.39,16
DET,PG,15.75,21,3.28,5,5.43,17
BRK,PG,15.78,22,3.65,20,5.01,5
SAC,PG,15.88,23,3.64,19,5.62,23
GSW,PG,16.03,24,3.37,10,5.28,14
IND,PG,16.14,25,3.87,28,4.71,1
ORL,PG,16.24,26,3.53,13,5.03,6
UTA,PF,16.43,28,4.68,1,3.27,29
LAL,PG,16.5,27,3.78,23,5.61,22
ATL,PF,16.75,29,5.83,27,3.09,28
PHO,PG,16.79,28,3.74,21,5.92,28
MIL,PG,16.83,29,3.79,24,4.95,4
IND,PF,16.93,30,5.69,22,2.62,11
SAS,PG,17.75,30,4.15,30,5.71,25
